Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,Imid
15580.694888,0.75895834,-0.6505171,-0.028454589,0.6500984,0.75949115,-0.023347955,0.036799256,-7.7816006E-4,0.99932235,0.7580651,-0.65155214,-0.028585581,0.65114564,0.75860304,-0.02303911,0.03669629,-0.001148233,0.9993258,0
15580.702452,0.75837064,-0.65120053,-0.028494071,0.65078145,0.7589053,-0.023373028,0.036844827,-8.1799366E-4,0.9993206,0.758125,-0.65147966,-0.028647862,0.651073,0.75866514,-0.023044733,0.03674731,-0.0011810625,0.99932384,0
15580.712492,0.7581337,-0.6514786,-0.028441142,0.65105987,0.75866663,-0.023369443,0.03680204,-7.997229E-4,0.9993223,0.7581381,-0.6514649,-0.028638525,0.65105844,0.7586779,-0.023039347,0.036736738,-0.001178347,0.99932426,0
15580.722424,0.75857246,-0.65096486,-0.028504819,0.6505464,0.75910735,-0.023352025,0.036839567,-8.2950393E-4,0.9993208,0.75814563,-0.6514536,-0.028693998,0.65104717,0.7586875,-0.023038946,0.036778584,-0.0012142704,0.9993227,0
15580.732447,0.7582482,-0.65134233,-0.028509466,0.6509222,0.7587835,-0.023405034,0.036877204,-8.1061845E-4,0.99931943,0.7581567,-0.65144116,-0.028684981,0.6510336,0.7586982,-0.02307045,0.036792286,-0.0011838696,0.99932224,0
15580.742567,0.7592518,-0.6501691,-0.028579853,0.6497498,0.75978905,-0.02336017,0.036902726,-8.335075E-4,0.9993185,0.7581268,-0.65147483,-0.028710894,0.6510677,0.7586693,-0.023061385,0.036805987,-0.0012092803,0.9993217,0
15580.752405,0.7601499,-0.6491169,-0.02862581,0.6486965,0.7606883,-0.023372628,0.036946885,-8.027618E-4,0.99931693,0.7581666,-0.65142757,-0.02873124,0.6510189,0.75870985,-0.023101198,0.036847435,-0.001190026,0.9993202,0
15580.76242,0.76053417,-0.64866483,-0.028659886,0.6482443,0.7610735,-0.023366114,0.03696907,-8.078814E-4,0.99931604,0.7582762,-0.65129936,-0.028744753,0.6508907,0.75881994,-0.023099013,0.036856465,-0.0011942614,0.99931985,0
15580.77245,0.7612569,-0.647812,-0.028767753,0.64739174,0.7617997,-0.023344971,0.03703842,-8.52488E-4,0.9993134,0.7583767,-0.6511796,-0.028807227,0.65077037,0.7589227,-0.023113616,0.036913574,-0.0012180628,0.99931777,0
15580.782415,0.7610621,-0.64804107,-0.028762065,0.64761996,0.76160485,-0.023372767,0.037051845,-8.387621E-4,0.99931294,0.7584699,-0.6510712,-0.028805919,0.650661,0.75901574,-0.023138706,0.03692909,-0.0011928768,0.99931717,0
15580.792555,0.7610675,-0.6480306,-0.028854636,0.6476082,0.7616137,-0.0234079,0.037145123,-8.715056E-4,0.9993094,0.75858974,-0.6509273,-0.028900098,0.6505156,0.7591391,-0.023178512,0.037026722,-0.0012169855,0.99931353,0
15580.803499,0.7608008,-0.6483413,-0.02890908,0.6479175,0.7613493,-0.023455476,0.037217062,-8.8575477E-4,0.9993068,0.75867116,-0.6508279,-0.029001432,0.6504148,0.7592243,-0.023215763,0.037128057,-0.0012498304,0.9993097,0
15580.812263,0.7615806,-0.6474242,-0.028931592,0.647001,0.7621294,-0.02342082,0.03721282,-8.819298E-4,0.999307,0.7587513,-0.65073335,-0.029027924,0.6503203,0.7593053,-0.023216117,0.037148558,-0.0012621884,0.999309,0
15580.822373,0.76058036,-0.64860034,-0.02889761,0.6481759,0.7611286,-0.02347772,0.037222456,-8.740398E-4,0.9993066,0.7588568,-0.6506098,-0.02904045,0.65019625,0.7594112,-0.023226129,0.03716479,-0.0012566862,0.99930835,0
15580.832265,0.7605854,-0.6485927,-0.028937327,0.6481662,0.7611352,-0.023532482,0.037288215,-8.577359E-4,0.9993042,0.7589429,-0.6505083,-0.029062463,0.6500931,0.7594982,-0.023270123,0.037210293,-0.0012326115,0.9993067,0
15580.842273,0.7596505,-0.6496848,-0.028997099,0.6492538,0.76020336,-0.023677394,0.03742653,-8.3993096E-4,0.99929905,0.7590268,-0.6504076,-0.029123724,0.64998907,0.7595844,-0.023360219,0.037315592,-0.0011990698,0.9993028,0
15580.852275,0.7583482,-0.65120214,-0.029044839,0.65076834,0.7589037,-0.02378032,0.037528034,-8.676964E-4,0.9992951,0.7590467,-0.65038174,-0.02918475,0.64996195,0.7596066,-0.02339568,0.03738505,-0.0012105642,0.99930024,0
15580.862272,0.7576308,-0.6520358,-0.029064331,0.65159804,0.75818765,-0.023901785,0.03762104,-8.295328E-4,0.9992917,0.7590051,-0.65042883,-0.02921641,0.6500056,0.75956637,-0.02348992,0.037470322,-0.0011618581,0.9992971,0
15580.872276,0.75746846,-0.6522228,-0.029102098,0.6517797,0.75802696,-0.024049997,0.03774613,-7.510418E-4,0.99928707,0.75895244,-0.65048844,-0.02925578,0.65006053,0.7595153,-0.023615973,0.037582133,-0.0010946267,0.99929297,0
15580.88227,0.75707996,-0.6526725,-0.029129576,0.6522264,0.75763977,-0.024138648,0.03782436,-7.241918E-4,0.99928415,0.7588877,-0.6505613,-0.02931467,0.6501307,0.75945294,-0.02369126,0.03767573,-0.0010793606,0.9992894,0
15580.892266,0.7568939,-0.65288246,-0.029263541,0.6524325,0.757459,-0.024246458,0.037996013,-7.4049E-4,0.9992776,0.75881714,-0.6506375,-0.02945046,0.6502034,0.7593876,-0.023789058,0.03784237,-0.001097244,0.99928313,0
15580.902271,0.75764614,-0.652005,-0.029352706,0.65154827,0.75821424,-0.024408739,0.038170267,-6.3151773E-4,0.99927104,0.7587295,-0.65073675,-0.02951744,0.650295,0.7593028,-0.023993662,0.038026232,-9.903444E-4,0.9992763,0
15580.912274,0.7559607,-0.6539586,-0.029350935,0.6534947,0.75653005,-0.024634028,0.038314503,-5.583251E-4,0.99926555,0.7586867,-0.65078354,-0.02958567,0.65033567,0.7592628,-0.02415782,0.03818481,-9.1239956E-4,0.99927026,0
15580.922279,0.7557404,-0.6542122,-0.029372977,0.6537433,0.7563109,-0.02476837,0.038418874,-4.83931E-4,0.9992616,0.7585724,-0.6509159,-0.029605132,0.65046376,0.7591494,-0.024272647,0.038274165,-8.4450585E-4,0.9992669,0
15580.932264,0.75515026,-0.6548893,-0.029462848,0.6544149,0.7557246,-0.024926122,0.03858965,-4.5795552E-4,0.999255,0.75844306,-0.65106297,-0.0296853,0.6506053,0.75902337,-0.024418877,0.03843006,-7.930861E-4,0.999261,0
15580.942265,0.7550649,-0.65497965,-0.029641844,0.6544993,0.75564635,-0.025084887,0.038828842,-4.598461E-4,0.99924576,0.7583151,-0.6512068,-0.02979954,0.65074354,0.7589,-0.024570052,0.03861505,-7.6001795E-4,0.99925387,0
15580.95233,0.7548296,-0.65524596,-0.02974933,0.65476143,0.7554154,-0.025198152,0.038984094,-4.5840535E-4,0.9992397,0.7581991,-0.6513369,-0.02990665,0.6508696,0.7587883,-0.024678499,0.03876683,-7.541148E-4,0.99924797,0
15580.962274,0.7552727,-0.6547333,-0.02979132,0.6542458,0.75585985,-0.025263213,0.03905873,-4.1023365E-4,0.99923676,0.7580651,-0.65149164,-0.029931903,0.65102136,0.7586555,-0.024760619,0.03883934,-7.1614515E-4,0.9992452,0
15580.972682,0.75509655,-0.65493405,-0.029845707,0.654441,0.7556861,-0.025410801,0.03919638,-3.446499E-4,0.99923146,0.757945,-0.65162736,-0.030018762,0.6511515,0.7585389,-0.024909848,0.03900234,-6.664649E-4,0.9992389,0
15580.982271,0.75411016,-0.6560629,-0.02998972,0.6555624,0.75470626,-0.025625365,0.039445277,-3.3578184E-4,0.99922174,0.7578118,-0.6517738,-0.030202623,0.6512915,0.7584131,-0.025081277,0.039253384,-6.638241E-4,0.9992291,0
