Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,Imid
84720.206042375,-0.13559918,-0.99075806,-0.0034008408,0.9907108,-0.13562664,0.009883976,-0.010253871,-0.0020289905,0.99994534,-0.11034151,-0.9938881,-0.0033350175,0.99383664,-0.110370524,0.010349883,-0.010654714,-0.0021724405,0.9999409,0
84720.210406389,-0.13560443,-0.9907573,-0.0033637292,0.99071044,-0.13563143,0.009841936,-0.010207198,-0.0019978723,0.99994594,-0.11034151,-0.9938881,-0.0033350175,0.99383664,-0.110370524,0.010349883,-0.010654714,-0.0021724405,0.9999409,0
84720.214739885,-0.13560194,-0.99075764,-0.0033812316,0.9907106,-0.13562915,0.009855247,-0.010222755,-0.0020134316,0.9999457,-0.11138667,-0.9937713,-0.0033974848,0.99371934,-0.1114164,0.010402116,-0.010715861,-0.0022174895,0.99994016,0
84720.219103898,-0.13560194,-0.99075764,-0.0033812316,0.9907106,-0.13562915,0.009855247,-0.010222755,-0.0020134316,0.9999457,-0.1118717,-0.99371684,-0.0033974024,0.9936649,-0.11190139,0.010391112,-0.010705998,-0.0022134082,0.9999402,0
84720.223437394,-0.13560224,-0.9907575,-0.0033791244,0.99071074,-0.1356294,0.009839832,-0.010207198,-0.0020134319,0.99994594,-0.11232958,-0.99366534,-0.0033480308,0.9936132,-0.112358764,0.010412289,-0.010722511,-0.0021570392,0.9999402,0
84720.227801408,-0.11118191,-0.99379516,-0.0031239602,0.99374735,-0.11120784,0.009952659,-0.010238313,-0.0019978716,0.9999456,-0.11232958,-0.99366534,-0.0033480308,0.9936132,-0.112358764,0.010412289,-0.010722511,-0.0021570392,0.9999402,0
84720.232134904,-0.11118191,-0.99379516,-0.0031239602,0.99374735,-0.11120784,0.009952659,-0.010238313,-0.0019978716,0.9999456,-0.11228413,-0.9936704,-0.0033671465,0.9936183,-0.11231351,0.010408476,-0.010720772,-0.0021769516,0.99994016,0
84720.236498918,-0.11118775,-0.9937947,-0.0030911772,0.99374706,-0.11121329,0.009925007,-0.010207198,-0.0019683086,0.99994594,-0.112262055,-0.9936729,-0.0033622724,0.99362093,-0.11229136,0.010399365,-0.010711122,-0.00217337,0.9999403,0
84720.240832414,-0.102944255,-0.99468267,-0.0029623439,0.9946347,-0.10296893,0.0099551035,-0.010207199,-0.0019216295,0.999946,-0.11230149,-0.9936686,-0.0033162823,0.9936163,-0.11233035,0.0104208505,-0.010727392,-0.002124835,0.9999402,0
84720.245196428,-0.102945976,-0.9946826,-0.0029484855,0.99463445,-0.102970555,0.0099721765,-0.010222757,-0.0019060697,0.99994594,-0.11230149,-0.9936686,-0.0033162823,0.9936163,-0.11233035,0.0104208505,-0.010727392,-0.002124835,0.9999402,0
84720.249560441,-0.10294557,-0.99468267,-0.0029516853,0.9946342,-0.10297024,0.010003129,-0.010253874,-0.0019060691,0.99994564,-0.11194876,-0.9937084,-0.0033363304,0.9936563,-0.11197781,0.010399279,-0.0107074445,-0.0021509794,0.99994034,0
84720.253893937,-0.13737144,-0.9905142,-0.0032967571,0.99046665,-0.13739778,0.009894768,-0.010253874,-0.0019060691,0.99994564,-0.1117688,-0.99372864,-0.0033285648,0.99367666,-0.11179775,0.010391416,-0.010698373,-0.002146081,0.99994045,0
84720.258257951,-0.13737862,-0.9905133,-0.0032367182,0.9904655,-0.13740434,0.009903084,-0.010253875,-0.0018453862,0.9999457,-0.112325504,-0.9936656,-0.0034071617,0.99361473,-0.11235507,0.010301907,-0.010619462,-0.0022282393,0.9999411,0
84720.262591447,-0.13738045,-0.99051315,-0.003221324,0.9904653,-0.13740602,0.009905215,-0.010253875,-0.0018298265,0.9999457,-0.112325504,-0.9936656,-0.0034071617,0.99361473,-0.11235507,0.010301907,-0.010619462,-0.0022282393,0.9999411,0
84720.266955461,-0.13909769,-0.99027336,-0.0032558518,0.9902255,-0.13912354,0.0099113155,-0.010267877,-0.001845386,0.9999456,-0.11344974,-0.9935376,-0.0034879935,0.993487,-0.11348007,0.010284582,-0.010613937,-0.0022984932,0.99994105,0
84720.271288957,-0.13909955,-0.9902731,-0.0032404612,0.9902252,-0.13912527,0.009913476,-0.010267878,-0.0018298264,0.99994564,-0.11396348,-0.99347883,-0.003483519,0.9934283,-0.11399372,0.010276934,-0.010607015,-0.002289431,0.9999411,0
84720.275652971,-0.13909818,-0.9902733,-0.0032517442,0.9902258,-0.13912395,0.009882041,-0.010238317,-0.0018453867,0.99994594,-0.11448449,-0.9934187,-0.0035492203,0.9933684,-0.11451539,0.010270079,-0.010608928,-0.0023499187,0.999941,0
84720.279986467,-0.08907439,-0.99602133,-0.002686948,0.99597263,-0.08909703,0.010007619,-0.010207201,-0.0017847043,0.9999463,-0.11448449,-0.9934187,-0.0035492203,0.9933684,-0.11451539,0.010270079,-0.010608928,-0.0023499187,0.999941,0
84720.28435048,-0.08907595,-0.99602133,-0.0026742371,0.9959723,-0.08909852,0.0100399945,-0.010238318,-0.001769144,0.999946,-0.113419116,-0.99354094,-0.003533875,0.9934914,-0.11344973,0.010196481,-0.010531539,-0.0023543988,0.9999418,0
84720.288714494,-0.08907767,-0.9960211,-0.002660142,0.9959719,-0.08910013,0.010056872,-0.010253876,-0.0017535841,0.99994594,-0.11293296,-0.9935964,-0.003516592,0.9935469,-0.1129634,0.010193704,-0.010525674,-0.0023426937,0.9999419,0
84720.29304799,-0.10591562,-0.9943712,-0.0028144394,0.9943223,-0.10593875,0.010012075,-0.010253876,-0.0017380243,0.99994594,-0.112473816,-0.99364835,-0.0035458321,0.9935987,-0.112504646,0.010212436,-0.010546493,-0.0023745026,0.9999416,0
84720.297412004,-0.10591136,-0.99437153,-0.0028453423,0.9943227,-0.105934806,0.01000879,-0.010253876,-0.0017691437,0.9999459,-0.112473816,-0.99364835,-0.0035458321,0.9935987,-0.112504646,0.010212436,-0.010546493,-0.0023745026,0.9999416,0
84720.3017455,-0.105913274,-0.9943713,-0.0028313717,0.99432224,-0.105936594,0.010024355,-0.010267878,-0.0017535837,0.9999457,-0.11218797,-0.9936808,-0.0035209819,0.9936309,-0.11221859,0.010230588,-0.010561058,-0.0023508074,0.99994147,0
84720.306109514,-0.12887578,-0.99165606,-0.0030664096,0.9916073,-0.12890032,0.0099870665,-0.010298995,-0.0017535832,0.9999454,-0.11195838,-0.9937068,-0.003481858,0.99365765,-0.11198843,0.010158836,-0.010484832,-0.0023224077,0.99994236,0
84720.31044301,-0.1288736,-0.99165624,-0.0030838237,0.9916075,-0.12889837,0.010000495,-0.010314553,-0.0017691427,0.9999453,-0.112297036,-0.99366856,-0.0034735973,0.9936194,-0.11232698,0.010155233,-0.0104811145,-0.0023110313,0.99994236,0
84720.314807023,-0.1288736,-0.99165624,-0.0030838237,0.9916075,-0.12889837,0.010000495,-0.010314553,-0.0017691427,0.9999453,-0.112297036,-0.99366856,-0.0034735973,0.9936194,-0.11232698,0.010155233,-0.0104811145,-0.0023110313,0.99994236,0
84720.319140519,-0.12828743,-0.99173206,-0.00312466,0.9916832,-0.12831265,0.010011953,-0.01033011,-0.0018142654,0.999945,-0.112997204,-0.9935896,-0.0033660764,0.99354076,-0.11302586,0.01009879,-0.010414506,-0.0022031988,0.9999433,0
84720.323504533,-0.12829082,-0.99173176,-0.0030971707,0.99168265,-0.12831578,0.010029623,-0.010344112,-0.0017847016,0.99994487,-0.113364406,-0.99354804,-0.0032953469,0.9934994,-0.11339223,0.010060293,-0.01036905,-0.002133446,0.999944,0
84720.327838029,-0.12828508,-0.9917323,-0.0031438614,0.99168324,-0.12831056,0.01003928,-0.01035967,-0.0018298246,0.9999447,-0.11366317,-0.9935139,-0.0032913852,0.99346524,-0.11369092,0.010059599,-0.010368552,-0.0021264711,0.999944,0
84720.332202043,-0.11811247,-0.9929956,-0.0030407822,0.99294627,-0.118137434,0.010070981,-0.01035967,-0.0018298246,0.9999447,-0.11366317,-0.9935139,-0.0032913852,0.99346524,-0.11369092,0.010059599,-0.010368552,-0.0021264711,0.999944,0
84720.336566057,-0.118115254,-0.99299526,-0.003023521,0.99294597,-0.11814002,0.010057362,-0.010344112,-0.0018142652,0.99994487,-0.11384813,-0.993493,-0.003186305,0.993445,-0.11387464,0.009984422,-0.010282293,-0.0020287111,0.99994504,0
84720.340899553,-0.118115254,-0.99299526,-0.003023521,0.99294597,-0.11814002,0.010057362,-0.010344112,-0.0018142652,0.99994487,-0.113933444,-0.9934833,-0.003167582,0.993435,-0.1139598,0.010005187,-0.010300964,-0.0020068614,0.9999449,0
84720.345263566,-0.16886473,-0.98563284,-0.0035504869,0.98558486,-0.16889213,0.009886502,-0.010344111,-0.0018298248,0.99994475,-0.1140171,-0.9934737,-0.003164696,0.99342537,-0.114043415,0.010006217,-0.0103018265,-0.0020030094,0.9999449,0
84720.349597062,-0.16886501,-0.98563284,-0.0035481248,0.9855851,-0.16889238,0.009872702,-0.01033011,-0.0018298251,0.999945,-0.1140171,-0.9934737,-0.003164696,0.99342537,-0.114043415,0.010006217,-0.0103018265,-0.0020030094,0.9999449,0
84720.353961076,-0.16886742,-0.9856325,-0.0035266294,0.9855842,-0.16889465,0.009922157,-0.010375229,-0.0018002609,0.99994457,-0.11626494,-0.99321276,-0.003291012,0.99316394,-0.11629258,0.010065884,-0.010380285,-0.0020982055,0.9999439,0
84720.358294572,-0.105832204,-0.9943797,-0.0029144417,0.99433005,-0.1058565,0.01009232,-0.010344111,-0.0018298248,0.99994475,-0.11737259,-0.9930821,-0.003409168,0.9930328,-0.11740154,0.010128897,-0.010459068,-0.0021965608,0.9999429,0
84720.362658586,-0.10582995,-0.99437994,-0.0029284097,0.99433064,-0.10585438,0.010076757,-0.01033011,-0.0018453848,0.999945,-0.11714195,-0.99310935,-0.0033992613,0.9930601,-0.11717081,0.010128264,-0.010456769,-0.0021892262,0.99994296,0
84720.366992082,-0.105834424,-0.9943795,-0.0029006382,0.99432975,-0.10585862,0.010109432,-0.01035967,-0.0018142649,0.9999447,-0.11714195,-0.99310935,-0.0033992613,0.9930601,-0.11717081,0.010128264,-0.010456769,-0.0021892262,0.99994296,0
84720.371356096,-0.11400124,-0.9934762,-0.0029714701,0.9934265,-0.11402575,0.010102311,-0.010375229,-0.0018002609,0.99994457,-0.11672822,-0.993158,-0.0034170104,0.99310774,-0.1167575,0.010226772,-0.010555762,-0.0021997069,0.9999418,0
84720.375720109,-0.11399933,-0.99347633,-0.0029871375,0.9934265,-0.11402403,0.010116175,-0.010390786,-0.0018142643,0.9999444,-0.11668262,-0.9931634,-0.0033999106,0.9931139,-0.11671157,0.010154667,-0.010482053,-0.0021916255,0.99994266,0
84720.380053605,-0.1140031,-0.99347603,-0.0029560302,0.99342626,-0.11402745,0.01010408,-0.010375229,-0.0017847011,0.99994457,-0.11662895,-0.9931697,-0.003391653,0.99312025,-0.116657816,0.0101539185,-0.010480228,-0.0021840786,0.9999427,0
84720.384417619,-0.14603615,-0.98927385,-0.0032808983,0.98922485,-0.14606209,0.010003312,-0.010375229,-0.0017847011,0.99994457,-0.11662895,-0.9931697,-0.003391653,0.99312025,-0.116657816,0.0101539185,-0.010480228,-0.0021840786,0.9999427,0
84720.388751115,-0.14603639,-0.98927385,-0.0032786285,0.98922503,-0.14606227,0.00998792,-0.010359671,-0.0017847015,0.99994475,-0.117753014,-0.99303705,-0.0034073796,0.99298733,-0.11778202,0.01017116,-0.010501667,-0.0021858003,0.9999425,0
84720.393115129,-0.14603615,-0.98927385,-0.0032808983,0.98922485,-0.14606209,0.010003312,-0.010375229,-0.0017847011,0.99994457,-0.118354775,-0.9929655,-0.003400726,0.99291617,-0.1183836,0.010132467,-0.010463782,-0.00217741,0.99994284,0
84720.397448625,-0.10097554,-0.9948849,-0.0028094635,0.9948346,-0.100999124,0.010158998,-0.010390787,-0.0017691413,0.99994445,-0.11890939,-0.9928993,-0.003398376,0.99285,-0.118938155,0.010129742,-0.010462011,-0.002169556,0.99994296,0
84720.401812639,-0.10097201,-0.99488527,-0.0028419604,0.9948349,-0.10099595,0.010171343,-0.010406344,-0.0018002602,0.9999442,-0.11890939,-0.9928993,-0.003398376,0.99285,-0.118938155,0.010129742,-0.010462011,-0.002169556,0.99994296,0
84720.406146135,-0.10097337,-0.99488515,-0.0028294786,0.9948345,-0.10099724,0.01020232,-0.010435905,-0.0017847001,0.999944,-0.11820846,-0.99298316,-0.0033486844,0.99293387,-0.11823671,0.010117673,-0.010442616,-0.0021290276,0.9999432,0
84720.410510148,-0.12656896,-0.99195313,-0.003075938,0.991903,-0.12659396,0.010128011,-0.010435905,-0.0017691404,0.999944,-0.117916435,-0.9930179,-0.0033331448,0.9929691,-0.11794445,0.010075918,-0.010398693,-0.0021215936,0.9999437,0
