Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
4739.638297943,0.6382048,0.7698282,0.007687822,-0.7697772,0.63825107,-0.0088680275,-0.011733619,-2.582921E-4,0.99993116,0.6305758,0.77608526,0.008116797,-0.77602935,0.6306279,-0.009327799,-0.012357846,-4.1698775E-4,0.9999236,-0.16758728,-0.06463623,9.856918,0
4739.642722992,0.6383286,0.7697282,0.0074178805,-0.76967704,0.63837165,-0.0088735605,-0.011565595,-4.5123405E-5,0.99993306,0.6307084,0.77597994,0.007872875,-0.7759264,0.63075745,-0.009122634,-0.012044856,-3.5504895E-4,0.9999274,0.04309082,0.002380371,9.818619,0
4739.647117523,0.6242859,0.78116393,0.007071227,-0.7811108,0.62432593,-0.009114257,-0.01153448,1.6648987E-4,0.99993354,0.63090974,0.7758185,0.00764951,-0.7757643,0.6309561,-0.009173332,-0.011943346,-1.4667238E-4,0.99992865,0.0622406,-0.02154541,9.84256,0
4739.651512055,0.62433857,0.78112286,0.0069551207,-0.7810677,0.6243772,-0.009286748,-0.01159671,3.6565503E-4,0.9999327,0.6307672,0.7759359,0.007502462,-0.7758797,0.6308118,-0.009338788,-0.011978942,6.959367E-5,0.99992824,-0.13406372,0.04069519,9.785095,0
4739.655937103,0.6243259,0.7811328,0.0069831437,-0.7810773,0.62436485,-0.009322102,-0.011641828,3.6565485E-4,0.9999322,0.63060415,0.7760695,0.0073758033,-0.77601135,0.6306472,-0.009507946,-0.0120303575,2.720426E-4,0.9999276,-0.21546936,-0.01675415,9.569611,0
4739.660331635,0.64611906,0.76320237,0.007230919,-0.76314765,0.6461594,-0.009152303,-0.011657386,3.9521838E-4,0.99993205,0.6304827,0.7761687,0.0073266835,-0.7761108,0.6305252,-0.009481381,-0.01197881,2.9152792E-4,0.9999282,-0.15322876,0.09336853,9.770737,0
4739.664726166,0.64604574,0.7632627,0.0074100317,-0.763209,0.64608824,-0.009059749,-0.011702503,1.9760909E-4,0.9999316,0.6307865,0.77592117,0.0074067162,-0.77586395,0.63082993,-0.009427189,-0.011987133,1.999397E-4,0.9999282,-0.07182312,0.03590393,9.789886,0
4739.669151215,0.64596933,0.7633256,0.007596713,-0.7632722,0.646014,-0.009021983,-0.011794293,2.9563533E-5,0.99993044,0.63106644,0.7756916,0.0075915284,-0.7756353,0.6311121,-0.009348494,-0.012042654,1.1263344E-5,0.99992746,-0.08618164,-0.02154541,9.86171,0
4739.673545746,0.6213326,0.7835117,0.007431803,-0.78345543,0.62137705,-0.009393505,-0.011977873,1.4003748E-5,0.99992836,0.63136274,0.7754487,0.0077774194,-0.7753927,0.6314106,-0.009320458,-0.012138282,-1.459641E-4,0.9999263,-0.12927246,-0.002380371,9.799454,0
4739.677970795,0.62131566,0.78352475,0.0074704355,-0.783467,0.6213606,-0.009517742,-0.012099221,6.068282E-5,0.99992687,0.63114256,0.7756266,0.007906246,-0.77556884,0.631192,-0.009465416,-0.012331988,-1.5781207E-4,0.99992394,-0.16758728,-0.02154541,9.871292,0
4739.682365326,0.6213051,0.7835329,0.0074946918,-0.7834754,0.62135035,-0.009498506,-0.012099221,2.9563425E-5,0.99992687,0.6309122,0.7758139,0.007916187,-0.77575463,0.63096184,-0.009586707,-0.012432312,-9.264894E-5,0.9999227,-0.12449646,-0.08378601,9.890442,0
4739.686759857,0.60996526,0.7923937,0.0073980223,-0.7923351,0.61001015,-0.00963287,-0.012145892,1.4003719E-5,0.9999262,0.63072056,0.77597016,0.0078623,-0.7759097,0.6307696,-0.009685421,-0.012474897,8.359973E-6,0.99992216,-0.20111084,-0.05505371,9.66539,0
4739.691184906,0.6100315,0.792344,0.0072564813,-0.79228646,0.61007464,-0.0095494315,-0.01199343,7.624261E-5,0.9999281,0.6302797,0.77632916,0.0077836467,-0.7762691,0.63032776,-0.0096617965,-0.0124069825,4.743054E-5,0.99992305,-0.07661438,0.002380371,9.828186,0
4739.695579437,0.61004245,0.7923358,0.007233187,-0.79227805,0.6100853,-0.00956737,-0.01199343,1.0580607E-4,0.9999281,0.6298646,0.7766675,0.007635627,-0.77660817,0.6299108,-0.009599932,-0.012265719,1.1676629E-4,0.9999248,-0.13885498,0.07899475,9.756363,0
4739.699973969,0.6088963,0.793217,0.0072098714,-0.7931593,0.608939,-0.009565477,-0.011977872,1.05806095E-4,0.99992824,0.62944156,0.777011,0.0075729,-0.7769515,0.6294871,-0.009615501,-0.012238392,1.6861982E-4,0.99992514,-0.04788208,-0.007171631,9.880859,0
4739.704399017,0.6088549,0.79324794,0.007309676,-0.79319054,0.60889876,-0.009545737,-0.012022989,1.400374E-5,0.99992776,0.6290244,0.7773483,0.007611323,-0.7772887,0.62907046,-0.009622609,-0.012268177,1.3666054E-4,0.9999247,0.0,0.026321411,9.780304,0
4739.708793549,0.60883576,0.79326224,0.007355868,-0.7932041,0.6088802,-0.009606382,-0.012099221,1.4003728E-5,0.99992687,0.6285783,0.7777077,0.0077467323,-0.7776479,0.62862605,-0.009639668,-0.012366642,3.5056022E-5,0.9999235,-0.04309082,0.04548645,9.909592,0
4739.71318808,0.5898446,0.8074845,0.007226286,-0.80742544,0.5898889,-0.0097626485,-0.012145892,-7.624247E-5,0.9999262,0.6281967,0.7780152,0.007825205,-0.77795464,0.6282455,-0.009704346,-0.012466278,8.583629E-6,0.9999223,-0.15322876,-0.03111267,9.933533,0
4739.717613129,0.5898419,0.8074863,0.007231771,-0.8074278,0.58988625,-0.0097201085,-0.012114778,-1.0580592E-4,0.9999266,0.6273856,0.7786688,0.0078861555,-0.7786085,0.6274352,-0.0096919425,-0.012494864,-5.9641538E-5,0.9999219,-0.0622406,-0.07421875,9.847351,0
