Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,Imid
7006.830822859,0.6804065,0.73134726,0.046670884,-0.7300113,0.6819942,-0.044356365,-0.06426918,-0.003889915,0.99792504,0.68518806,0.72694516,0.045475822,-0.72564703,0.6866882,-0.043538567,-0.06287786,-0.003167292,0.9980162,-0.09277344,-0.1701355,-0.073013306,0
7006.835247908,0.68057084,0.73121035,0.04641996,-0.72987,0.68214226,-0.044402897,-0.06413287,-0.0036612232,0.9979346,0.68508893,0.7270461,0.04535548,-0.72574925,0.6865816,-0.04351671,-0.06277889,-0.003103885,0.9980226,-0.17552185,-0.10534668,-0.010772705,0
7006.839672957,0.6807439,0.731066,0.046155617,-0.7297196,0.68229836,-0.04447973,-0.06400952,-0.0034013516,0.9979435,0.6850158,0.7271362,0.045013446,-0.72583455,0.6864874,-0.043579865,-0.06258966,-0.0028194191,0.9980353,-0.16236877,-0.026489258,0.017807007,0
7006.844098005,0.6925563,0.71985257,0.046670318,-0.7185278,0.69411963,-0.043772023,-0.06390418,-0.003219327,0.9979509,0.6849348,0.7272289,0.04475027,-0.72592264,0.6863902,-0.04364543,-0.062456362,-0.0025909592,0.9980444,-0.06762695,-0.042648315,0.23329163,0
7006.848523054,0.6926394,0.7197808,0.046542984,-0.71844745,0.6941947,-0.04389436,-0.06390421,-0.0030357223,0.9979513,0.6850764,0.7271087,0.0445331,-0.72579867,0.6865182,-0.043693427,-0.06234265,-0.0023887253,0.99805194,0.018554688,0.15187073,0.18540955,0
7006.852948103,0.6926137,0.7198029,0.046582293,-0.7184628,0.69417197,-0.04400298,-0.0640096,-0.0029905792,0.9979448,0.6852564,0.72694117,0.04449925,-0.72562456,0.68669593,-0.043791693,-0.062391438,-0.0022812085,0.99804914,0.033966064,0.022155762,0.13752747,0
7006.857373152,0.68120414,0.73064286,0.046064816,-0.72927374,0.68275297,-0.044813335,-0.064193435,-0.003066833,0.9979328,0.68542117,0.7267797,0.044599343,-0.7254556,0.6868669,-0.043909285,-0.062546186,-0.0022584887,0.9980395,-0.06478882,0.113861084,0.14245605,0
7006.861798201,0.6810432,0.730777,0.046314146,-0.7294077,0.6826084,-0.044832706,-0.064377144,-0.0032488874,0.9979204,0.68534374,0.72683746,0.044846997,-0.725511,0.68680525,-0.04395756,-0.06275115,-0.002410951,0.99802625,0.013626099,-0.008834839,0.20484924,0
7006.86622325,0.6808737,0.73091835,0.046576798,-0.7295554,0.68245596,-0.04475375,-0.06449795,-0.0035087056,0.9979117,0.6852499,0.7269092,0.0451171,-0.72558135,0.6867287,-0.043993868,-0.062962756,-0.0025893324,0.99801254,-0.104904175,-0.08769226,-0.020202637,0
7006.870648298,0.70486885,0.7077071,0.048068047,-0.70639646,0.7064972,-0.043194413,-0.064528935,-0.0035086984,0.99790967,0.6851766,0.72696185,0.04538243,-0.7256402,0.686672,-0.04390749,-0.06308191,-0.0028469323,0.99800426,-0.08065796,0.008087158,-0.082458496,0
7006.875073347,0.704862,0.7077133,0.04807822,-0.70640063,0.70649123,-0.04322732,-0.064559385,-0.0034931868,0.9979078,0.6855595,0.72659403,0.045490038,-0.7252756,0.68706083,-0.043849457,-0.06311518,-0.0029314044,0.99800193,-0.07078552,0.02229309,-0.09187317,0
7006.879467879,0.70483357,0.70773876,0.048120525,-0.706426,0.70646554,-0.04322906,-0.064590365,-0.0035242988,0.9979056,0.6859207,0.72624904,0.045554437,-0.7249358,0.68742514,-0.043758426,-0.06309478,-0.0030092353,0.998003,-0.08483887,-0.08753967,-0.020050049,0
7006.883892927,0.66118383,0.7488533,0.045327596,-0.747441,0.66272706,-0.046096582,-0.0645594,-0.0034013847,0.9979081,0.68628997,0.72589964,0.045559898,-0.7245877,0.687794,-0.043726053,-0.063076556,-0.0030033907,0.99800414,-0.056427002,-0.12704468,-0.07272339,0
7006.888317976,0.6613041,0.7487579,0.045149617,-0.7473424,0.6628357,-0.04613212,-0.06446857,-0.0032348647,0.99791455,0.68580455,0.72636825,0.04540273,-0.7250497,0.68729985,-0.04384019,-0.06304941,-0.002853433,0.99800634,0.08155823,0.019760132,0.16175842,0
7006.892743025,0.6613544,0.7487179,0.045075107,-0.7473019,0.66288114,-0.04613574,-0.06442209,-0.003172636,0.9979178,0.68533474,0.7268221,0.04523244,-0.7254955,0.68682057,-0.043975152,-0.063028686,-0.0026782341,0.99800813,-0.043395996,-0.03352356,0.12823486,0
7006.897168074,0.6682324,0.7425596,0.0455029,-0.7411605,0.66977215,-0.045674518,-0.06439264,-0.0032037613,0.9979195,0.68481714,0.72731566,0.04513725,-0.72598696,0.6862981,-0.044021547,-0.062995166,-0.0026223403,0.99801034,0.052078247,-0.09068298,-0.053726196,0
7006.901593123,0.66823167,0.7425603,0.04550402,-0.74116266,0.66977143,-0.045652658,-0.064377144,-0.0032193242,0.99792045,0.684503,0.72761285,0.045112558,-0.72628033,0.6859831,-0.044091646,-0.063028105,-0.002583501,0.99800843,0.03756714,-0.047424316,0.17611694,0
7006.906018171,0.6682338,0.74255854,0.045500793,-0.7411581,0.6697735,-0.045695204,-0.064406596,-0.003188199,0.99791867,0.6841822,0.72790855,0.04520829,-0.7265767,0.685669,-0.044094123,-0.063094415,-0.0026788788,0.99800396,-0.07707214,0.10548401,-0.063308716,0
