Time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,GravX,GravY,GravZ,MagX,MagY,MagZ,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9
17652.138236512,-0.009567261,-0.020248413,-0.003189087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17652.142661561,-0.009567261,-0.020248413,-0.003189087,-0.09336853,0.05265808,9.816223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17652.140098084,0.0010681152,-0.018112183,-0.003189087,-0.09336853,0.05265808,9.816223,-0.09844971,0.08692932,9.80574,-10.0616455,30.374146,-10.20813,0.94857544,0.31647998,0.006718063,-0.31639206,0.94855785,-0.011585683,-0.010039108,0.008864352,0.99991035
17652.147056092,0.0010681152,-0.018112183,-0.003189087,-0.18913269,0.14364624,9.830582,-0.09844971,0.08692932,9.80574,-10.0616455,30.374146,-10.20813,0.94857544,0.31647998,0.006718063,-0.31639206,0.94855785,-0.011585683,-0.010039108,0.008864352,0.99991035
17652.151481141,-0.010635376,-0.027694702,0.012786865,-0.06463623,0.004776001,9.94072,-0.09754944,0.086639404,9.80574,-10.0616455,30.374146,-10.20813,0.9485838,0.3164567,0.006640619,-0.31637004,0.9485659,-0.011528442,-0.009947317,0.008834799,0.99991155
17652.155875672,-0.0074310303,-0.024505615,0.0021362305,-0.12210083,0.05744934,9.98381,-0.09635925,0.08602905,9.80574,-10.0616455,30.374146,-10.20813,0.94859385,0.31642807,0.006545532,-0.3163432,0.9485759,-0.011430823,-0.009825968,0.008772575,0.9999133
17652.153892029,-0.035125732,-0.019180298,0.004272461,-0.12210083,0.05744934,9.98381,-0.095458984,0.0843811,9.80574,-10.240173,29.118347,-11.071777,0.9425936,0.33388254,0.0063030072,-0.3338001,0.94257534,-0.011360669,-0.009734189,0.00860455,0.9999156
17652.160300721,-0.035125732,-0.019180298,0.004272461,-0.04069519,0.01914978,9.883255,-0.095458984,0.0843811,9.80574,-10.240173,29.118347,-11.071777,0.9425936,0.33388254,0.0063030072,-0.3338001,0.94257534,-0.011360669,-0.009734189,0.00860455,0.9999156
17652.164695252,-0.012756348,-0.012786865,0.005340576,-0.09815979,0.10055542,9.945511,-0.0953064,0.08409119,9.80574,-10.240173,29.118347,-11.071777,0.94259423,0.33388096,0.0062982314,-0.33379894,0.94257635,-0.011327603,-0.009718633,0.008574991,0.9999161
17652.169120301,-0.015960693,-0.0010681152,-0.008514404,0.01675415,0.08139038,9.98381,-0.0953064,0.084243774,9.80574,-10.240173,29.118347,-11.071777,0.9425949,0.3338792,0.0062930565,-0.33379707,0.94257677,-0.011342255,-0.009718632,0.008590548,0.9999159
17652.167716492,-0.027679443,0.003189087,0.0010681152,0.01675415,0.08139038,9.98381,-0.09501648,0.08303833,9.80574,-7.7301025,30.194092,-11.071777,0.96808785,0.2505057,0.007259291,-0.25042346,0.968078,-0.010624588,-0.009689081,0.008467638,0.9999172
17652.173514832,-0.027679443,0.003189087,0.0010681152,0.01675415,0.0,9.988602,-0.09501648,0.08303833,9.80574,-7.7301025,30.194092,-11.071777,0.96808785,0.2505057,0.007259291,-0.25042346,0.968078,-0.010624588,-0.009689081,0.008467638,0.9999172
17652.177939881,-0.027679443,-0.0032043457,-0.008514404,-0.18913269,0.1484375,9.801849,-0.09440613,0.08139038,9.80574,-7.7301025,30.194092,-11.071777,0.96808964,0.2504995,0.007241201,-0.25041917,0.96808124,-0.010446289,-0.009626862,0.008299609,0.9999193
