nullax: 0.2269281   ay: 0.49846345    az: 9.812844 time: 100076301
ax: 0.19399658   ay: 0.49651748    az: 9.794133 time: 100228904
ax: 0.19833755   ay: 0.49666718    az: 9.789043 time: 100106820
ax: 0.17289047   ay: 0.49666718    az: 9.793235 time: 100289943
ax: 0.19489472   ay: 0.49651748    az: 9.78081 time: 119182055
ax: 0.19893631   ay: 0.49666718    az: 9.78096 time: 100228902
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 119884023
ax: 0.19878662   ay: 0.49651748    az: 9.78081 time: 100137342
ax: 0.1353186   ay: 0.50894165    az: 9.717193 time: 120189226
ax: 0.19279908   ay: 0.49681687    az: 9.789193 time: 119334655
ax: 0.19743942   ay: 0.49666718    az: 9.83904 time: 120463910
ax: 0.16570541   ay: 0.49651748    az: 9.76674 time: 119853503
ax: 0.19743942   ay: 0.49666718    az: 9.817783 time: 119822981
ax: 0.199086   ay: 0.49651748    az: 9.785002 time: 119975583
ax: 0.19893631   ay: 0.49681687    az: 9.78111 time: 119578821
ax: 0.16884887   ay: 0.49681687    az: 9.78111 time: 100350983
ax: 0.1963916   ay: 0.49666718    az: 9.814341 time: 119578820
ax: 0.16226257   ay: 0.49681687    az: 9.758058 time: 120189225
ax: 0.17468673   ay: 0.48813492    az: 9.816137 time: 120402869
ax: 0.19878662   ay: 0.49681687    az: 9.78126 time: 119731421
ax: 0.19803818   ay: 0.51462984    az: 9.7989235 time: 100350983
ax: 0.17468673   ay: 0.49666718    az: 9.817485 time: 119273618
ax: 0.19878662   ay: 0.57675064    az: 9.736952 time: 120097663
ax: 0.19743942   ay: 0.47301635    az: 9.793235 time: 119914543
ax: 0.19893631   ay: 0.47855484    az: 9.785002 time: 120158706
ax: 0.18546432   ay: 0.49666718    az: 9.80521 time: 101358157
ax: 0.16735199   ay: 0.49681687    az: 9.787846 time: 118235923
ax: 0.199086   ay: 0.49651748    az: 9.781858 time: 100137341
ax: 0.16241226   ay: 0.49666718    az: 9.80521 time: 119639860
ax: 0.19070344   ay: 0.4963678    az: 9.782607 time: 100045781
ax: 0.19848724   ay: 0.49651748    az: 9.783356 time: 119761940
ax: 0.19220032   ay: 0.48858398    az: 9.781559 time: 119945063
ax: 0.19833755   ay: 0.49666718    az: 9.78096 time: 123393865
ax: 0.19878662   ay: 0.49681687    az: 9.78111 time: 116679385
ax: 0.19878662   ay: 0.49651748    az: 9.784852 time: 100381504
ax: 0.19609222   ay: 0.4725673    az: 9.78111 time: 119395697
ax: 0.17992584   ay: 0.4815486    az: 9.782008 time: 120433389
ax: 0.18336868   ay: 0.49651748    az: 9.796079 time: 100076301
ax: 0.18755996   ay: 0.4724176    az: 9.819281 time: 101052953
ax: 0.18082398   ay: 0.49651748    az: 9.819131 time: 118480086
ax: 0.16375946   ay: 0.4963678    az: 9.819281 time: 119761940
ax: 0.1790277   ay: 0.49157774    az: 9.804012 time: 120677553
ax: 0.19893631   ay: 0.49666718    az: 9.818981 time: 119273614
ax: 0.18396744   ay: 0.49651748    az: 9.804162 time: 120433390
ax: 0.19848724   ay: 0.4936734    az: 9.795181 time: 119517778
ax: 0.19878662   ay: 0.49666718    az: 9.782607 time: 100076301
ax: 0.17887802   ay: 0.49412248    az: 9.783955 time: 119700901
ax: 0.19893631   ay: 0.4725673    az: 9.78111 time: 100045779
ax: 0.19489472   ay: 0.49651748    az: 9.78096 time: 120341829
ax: 0.18516494   ay: 0.4936734    az: 9.792037 time: 119731421
ax: 0.19803818   ay: 0.4815486    az: 9.784852 time: 119975584
