loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
02:07.8,1,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,0.212547302,-31.29653931,-30.66329193,179.2693329,178.3539581,10,824846.2555,0.004455566,0.001754761,-0.982757568,824846.2303,0.004002997,-0.010690994,-0.012231633,824846.2158,-0.969210474,0.012063274,0.001749447,-0.00304317,-0.007495063,-0.004577657,0.007269923,-0.002492497,0.006639577,XArbitraryZVertical,-0.003583868,-0.004929623,0.465845766,-0.884844945,0.012062963,-0.001749446,-0.999925733,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.8,2,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.276357651,-31.50537109,-30.87985611,179.2867126,178.3713379,10,824846.2666,0.010284424,0.006729126,-0.999008179,824846.2497,0.003720436,-0.00356038,0.002439722,824846.2352,-0.969392329,0.012145537,0.001787858,-0.007009693,0.006851925,-0.000859353,0.001145186,0.002489762,0.012421594,XArbitraryZVertical,-0.003620473,-0.004956742,0.465925961,-0.884802419,0.012145218,-0.001787857,-0.99992466,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,3,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.2777,0.014404297,-0.003219604,-0.990432739,824846.2594,0.002577407,-0.007173757,-2.72E-05,824846.2449,-0.969363962,0.012146811,0.001552737,-0.00690722,-0.002794766,0.003961487,0.001067614,0.007213747,0.007691747,XArbitraryZVertical,-0.003516681,-0.005012131,0.465914087,-0.884808779,0.012146497,-0.001552736,-0.999925017,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,4,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.2879,0.015686035,-0.013031006,-0.994445801,824846.2788,0.012514194,-0.013022858,-1.33E-06,824846.2643,-0.969294245,0.012075569,0.001353259,-0.012017539,0.00793765,0.005212634,-0.007619698,0.00310802,0.017168608,XArbitraryZVertical,-0.00341166,-0.005027203,0.465883935,-0.884824981,0.012075265,-0.001353259,-0.99992615,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,5,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.299,0.019348145,-0.005249023,-0.990402222,824846.2788,0.012514194,-0.013022858,-1.33E-06,824846.2643,-0.969294245,0.012075569,0.001353259,-0.012017539,0.00793765,0.005212634,-0.007619698,0.00310802,0.017168608,XArbitraryZVertical,-0.00341166,-0.005027203,0.465883935,-0.884824981,0.012075265,-0.001353259,-0.99992615,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,6,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.31,0.014465332,-0.005187988,-0.990463257,824846.2885,0.003908722,-0.008314123,-0.00734127,824846.274,-0.96935126,0.012061605,0.001177495,0.003010861,-0.000172274,-0.00692917,-0.00177688,0.00790662,0.000918388,XArbitraryZVertical,-0.003330792,-0.005061873,0.465909678,-0.884811537,0.012061304,-0.001177495,-0.999926567,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,7,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.3211,0.016357422,-0.003234863,-0.991394043,824846.308,0.004989699,-0.005944975,0.00243333,824846.2934,-0.969386906,0.0121674,0.001468999,0.007805153,0.005907109,-0.004426056,0.003518948,-0.011562007,0.005479098,XArbitraryZVertical,-0.00348449,-0.005040707,0.465924441,-0.884803291,0.012167087,-0.001468999,-0.999924898,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,8,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.3321,0.01234436,-0.000259399,-0.986572266,824846.3177,0.006295713,-0.004673315,-0.006086122,824846.3031,-0.969383419,0.012347889,0.001573651,0.000444502,0.002157934,-0.000835052,0.007000585,-0.003675373,0.009520306,XArbitraryZVertical,-0.003572826,-0.005096182,0.465922278,-0.884803761,0.012347559,-0.00157365,-0.999922514,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,9,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.3433,0.011322021,0.001724243,-0.989440918,824846.3177,0.006295713,-0.004673315,-0.006086122,824846.3031,-0.969383419,0.012347889,0.001573651,0.000444502,0.002157934,-0.000835052,0.007000585,-0.003675373,0.009520306,XArbitraryZVertical,-0.003572826,-0.005096182,0.465922278,-0.884803761,0.012347559,-0.00157365,-0.999922514,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,10,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-30.94849396,-30.87985611,179.2860413,178.3706665,10,824846.3537,0.012329102,0.004760742,-1.002868652,824846.3371,0.005099155,-0.005889314,-0.007319698,824846.3225,-0.969388155,0.012503321,0.001662571,-0.005636906,-0.000333788,-0.003324844,0.003854444,-0.001572293,0.00852641,XArbitraryZVertical,-0.003648386,-0.005144221,0.465923831,-0.884802356,0.012502978,-0.001662571,-0.999920428,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,11,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-31.08771133,-30.87985611,179.2853394,178.3699646,10,824846.3647,0.012191772,0.004608154,-0.983612061,824846.3468,0.006238455,0.001359011,-0.009708554,824846.3322,-0.969396583,0.012495005,0.00161543,-0.003257998,0.002090471,0.000361499,-0.000150304,0.00135603,0.013348368,XArbitraryZVertical,-0.003625615,-0.005151509,0.465927714,-0.884800363,0.012494664,-0.00161543,-0.999920607,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,12,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-31.08771133,-30.87985611,179.2853394,178.3699646,10,824846.3758,0.006607056,-0.002105713,-0.995330811,824846.3662,0.001373126,-0.009605756,0.001170459,824846.3516,-0.969509873,0.012594221,0.00147066,-0.006963761,0.008083002,-0.006940898,-0.001271853,0.003194903,0.010478695,XArbitraryZVertical,-0.003584979,-0.005228926,0.465978082,-0.884773549,0.012593875,-0.00147066,-0.999919593,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,13,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.555732727,-31.08771133,-30.87985611,179.2853394,178.3699646,10,824846.3869,0.01348877,-0.005172729,-0.990478516,824846.3662,0.001373126,-0.009605756,0.001170459,824846.3516,-0.969509873,0.012594221,0.00147066,-0.006963761,0.008083002,-0.006940898,-0.001271853,0.003194903,0.010478695,XArbitraryZVertical,-0.003584979,-0.005228926,0.465978082,-0.884773549,0.012593875,-0.00147066,-0.999919593,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,14,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.41604805,-31.22693253,-30.87985611,179.2874298,178.3720551,10,824846.3979,0.019378662,-0.007217407,-0.988525391,824846.3759,0.011384481,-0.01662931,-0.003687147,824846.3613,-0.96954234,0.012621486,0.001315221,-0.004535704,0.003258377,0.002799336,-0.000292038,0.006075962,-0.002949167,XArbitraryZVertical,-0.003522653,-0.005277147,0.465992855,-0.884765733,0.012621139,-0.00131522,-0.999919474,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
02:07.9,15,1419413431,28.57230683,77.18973542,211.4383,-1,-1,10,65,-9999,1419413528,-0.206518173,-31.15732193,-30.95204163,179.2935638,178.3781891,10,824846.4089,0.014480591,-0.005172729,-0.993362427,824846.3953,0.013423131,-0.001041829,0.011047325,824846.3807,-0.969492342,0.012398323,0.001154272,-0.000661437,-0.006285589,0.000327911,-0.005790942,-0.000951441,0.004591665,XArbitraryZVertical,-0.003399326,-0.00521601,0.465971592,-0.884777776,0.012397997,-0.001154272,-0.999922454,0,0,0,-1,192.168.2.7,0.0.0.0,5,2
