time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az,id
765899.949271,0.999936,-0.000085,-0.011296,-0.000037,0.999942,-0.010763,0.011296,0.010762,0.999878,-0.007462,0.001820,-0.005278,0.000000,0.000000,0.000000,0.011295,0.010743,-0.999879,-0.000217,-0.004258,0.028824,0
765899.958977,0.999936,-0.000127,-0.011304,0.000004,0.999941,-0.010828,0.011305,0.010827,0.999878,-0.005053,-0.001802,0.004469,0.000000,0.000000,0.000000,0.011296,0.010763,-0.999878,-0.000218,-0.004278,0.028824,0
765899.968684,0.999936,-0.000127,-0.011304,0.000004,0.999941,-0.010828,0.011305,0.010827,0.999878,-0.003813,0.001860,-0.001599,0.000000,0.000000,0.000000,0.011296,0.010813,-0.999878,0.000789,-0.005320,0.028808,0
765899.978392,0.999936,-0.000127,-0.011304,0.000004,0.999941,-0.010828,0.011305,0.010827,0.999878,-0.000057,-0.000470,-0.004028,0.000000,0.000000,0.000000,0.011291,0.010839,-0.999878,0.002671,-0.003408,0.029846,0
765899.988098,0.999936,-0.000161,-0.011280,0.000038,0.999941,-0.010871,0.011281,0.010870,0.999877,-0.003753,0.000679,-0.005263,0.000000,0.000000,0.000000,0.011304,0.010828,-0.999878,-0.000257,-0.003366,0.028839,0
765899.997805,0.999936,-0.000161,-0.011280,0.000038,0.999941,-0.010871,0.011281,0.010870,0.999877,-0.000065,-0.001686,-0.001597,0.000000,0.000000,0.000000,0.011280,0.010871,-0.999877,0.006557,-0.001533,0.028945,0
765900.007512,0.999934,-0.000133,-0.011523,0.000006,0.999939,-0.011013,0.011524,0.011012,0.999873,-0.000092,-0.001700,0.000842,0.000000,0.000000,0.000000,0.011282,0.010836,-0.999878,0.001627,-0.000475,0.031799,0
765900.017218,0.999934,-0.000133,-0.011523,0.000006,0.999939,-0.011013,0.011524,0.011012,0.999873,-0.007497,0.000591,-0.000409,0.000000,0.000000,0.000000,0.011523,0.011013,-0.999873,0.001356,0.000324,0.030833,0
765900.026925,0.999928,-0.000147,-0.012036,0.000016,0.999941,-0.010880,0.012037,0.010879,0.999868,0.001146,-0.000458,-0.001582,0.000000,0.000000,0.000000,0.012036,0.010880,-0.999868,0.003863,-0.001496,0.026983,0
765900.036633,0.999924,-0.000054,-0.012340,-0.000077,0.999943,-0.010645,0.012340,0.010646,0.999867,-0.000254,-0.001775,0.015471,0.000000,0.000000,0.000000,0.012327,0.010656,-0.999867,0.002596,-0.002249,0.027928,0
765900.046339,0.999924,-0.000054,-0.012340,-0.000077,0.999943,-0.010645,0.012340,0.010646,0.999867,0.004872,0.000836,-0.006429,0.000000,0.000000,0.000000,0.012340,0.010645,-0.999867,0.002583,-0.002238,0.027928,0
765900.056046,0.999924,-0.000169,-0.012365,0.000036,0.999942,-0.010740,0.012366,0.010739,0.999866,-0.001228,0.004397,-0.016199,0.000000,0.000000,0.000000,0.012365,0.010740,-0.999866,-0.000448,0.000628,0.028888,0
765900.065753,0.999919,-0.000285,-0.012700,0.000150,0.999943,-0.010699,0.012702,0.010696,0.999862,-0.001250,-0.001674,-0.005261,0.000000,0.000000,0.000000,0.012614,0.010603,-0.999864,0.002294,-0.002211,0.029863,0
765900.075459,0.999919,-0.000285,-0.012700,0.000150,0.999943,-0.010699,0.012702,0.010696,0.999862,-0.000185,0.009175,-0.006410,0.000000,0.000000,0.000000,0.012700,0.010699,-0.999862,0.000194,0.000669,0.027938,0
765900.085166,0.999920,-0.000312,-0.012657,0.000178,0.999944,-0.010592,0.012659,0.010589,0.999864,0.001237,-0.005260,0.002067,0.000000,0.000000,0.000000,0.012657,0.010592,-0.999864,-0.000648,-0.001147,0.025010,0
