time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az
761187.153731,0.999222,0.000073,-0.039430,0.000032,0.999996,0.002643,0.039430,-0.002642,0.999219,0.006309,-0.008449,0.005044,0.000000,0.000000,0.000000,0.039462,-0.002679,-0.999218,-0.000735,0.000085,0.019664
761187.182850,0.999229,-0.000003,-0.039254,0.000108,0.999996,0.002683,0.039254,-0.002685,0.999226,-0.006052,-0.001410,0.000134,0.000000,0.000000,0.000000,0.039430,-0.002643,-0.999219,-0.002748,-0.000043,0.033139
761187.192557,0.999229,-0.000003,-0.039254,0.000108,0.999996,0.002683,0.039254,-0.002685,0.999226,-0.000940,-0.009717,-0.004760,0.000000,0.000000,0.000000,0.039375,-0.002608,-0.999221,-0.003623,0.000990,0.023513
761187.202263,0.999229,-0.000003,-0.039254,0.000108,0.999996,0.002683,0.039254,-0.002685,0.999226,0.010008,-0.004746,-0.001008,0.000000,0.000000,0.000000,0.039303,-0.002689,-0.999224,-0.004452,-0.001874,0.024416
761187.211969,0.999232,0.000078,-0.039192,0.000027,0.999996,0.002662,0.039192,-0.002661,0.999228,0.000111,-0.001301,-0.001047,0.000000,0.000000,0.000000,0.039254,-0.002683,-0.999226,-0.002526,-0.000979,0.030232
761187.221676,0.999236,0.000116,-0.039080,-0.000010,0.999996,0.002729,0.039080,-0.002727,0.999232,-0.002324,-0.006179,0.003786,0.000000,0.000000,0.000000,0.039192,-0.002662,-0.999228,-0.002464,-0.001000,0.030234
761187.231382,0.999236,0.000116,-0.039080,-0.000010,0.999996,0.002729,0.039080,-0.002727,0.999232,0.000214,-0.005893,0.003318,0.000000,0.000000,0.000000,0.039144,-0.002658,-0.999230,-0.002416,-0.001004,0.030236
761187.241088,0.999238,0.000083,-0.039023,0.000026,0.999996,0.002792,0.039023,-0.002791,0.999234,0.008896,-0.009351,0.002131,0.000000,0.000000,0.000000,0.039080,-0.002729,-0.999232,-0.006319,0.001097,0.029277
761187.250795,0.999238,0.000083,-0.039023,0.000026,0.999996,0.002792,0.039023,-0.002791,0.999234,0.002797,-0.005790,-0.007639,0.000000,0.000000,0.000000,0.039023,-0.002792,-0.999234,-0.003271,-0.000839,0.029279
761187.260501,0.999256,0.000043,-0.038563,0.000068,0.999996,0.002889,0.038563,-0.002890,0.999252,0.005114,-0.004610,0.003355,0.000000,0.000000,0.000000,0.038976,-0.002819,-0.999236,-0.005254,0.000134,0.036971
