time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az
761768.668897,0.998721,-0.000129,-0.050559,-0.000134,0.999987,-0.005193,0.050559,0.005193,0.998708,0.001375,-0.010988,-0.003893,0.000000,0.000000,0.000000,0.050543,0.005217,-0.998708,-0.000357,-0.001158,0.029043
761768.678603,0.998719,-0.000061,-0.050596,-0.000200,0.999987,-0.005144,0.050595,0.005147,0.998706,0.005936,0.005883,0.003549,0.000000,0.000000,0.000000,0.050559,0.005193,-0.998708,-0.000373,-0.001134,0.029042
761768.688310,0.998719,-0.000061,-0.050596,-0.000200,0.999987,-0.005144,0.050595,0.005147,0.998706,-0.003835,0.003331,0.001036,0.000000,0.000000,0.000000,0.050588,0.005175,-0.998706,-0.002232,-0.005023,0.027973
761768.698017,0.998721,-0.000069,-0.050552,-0.000192,0.999987,-0.005150,0.050551,0.005153,0.998708,-0.001360,-0.002682,0.008331,0.000000,0.000000,0.000000,0.050627,0.005180,-0.998704,-0.000441,-0.001136,0.029985
761768.707723,0.998721,-0.000069,-0.050552,-0.000192,0.999987,-0.005150,0.050551,0.005153,0.998708,0.003669,-0.002545,-0.001391,0.000000,0.000000,0.000000,0.050596,0.005144,-0.998706,0.002612,-0.003084,0.028064
761768.717430,0.998718,-0.000066,-0.050624,-0.000193,0.999987,-0.005122,0.050624,0.005126,0.998705,-0.000006,-0.002599,-0.002633,0.000000,0.000000,0.000000,0.050552,0.005150,-0.998708,0.000596,-0.001152,0.033880
761768.727136,0.998718,-0.000066,-0.050624,-0.000193,0.999987,-0.005122,0.050624,0.005126,0.998705,-0.011185,0.005648,-0.005090,0.000000,0.000000,0.000000,0.050614,0.005232,-0.998705,-0.002244,-0.006071,0.030855
761768.736842,0.998726,-0.000130,-0.050458,-0.000123,0.999987,-0.005009,0.050458,0.005009,0.998714,0.002313,0.001006,0.004718,0.000000,0.000000,0.000000,0.050624,0.005122,-0.998705,-0.001369,-0.001018,0.025163
761768.746549,0.998726,-0.000130,-0.050458,-0.000123,0.999987,-0.005009,0.050458,0.005009,0.998714,0.001550,-0.018175,-0.008812,0.000000,0.000000,0.000000,0.050458,0.005009,-0.998714,-0.002317,-0.001042,0.042491
761768.756256,0.998731,-0.000112,-0.050366,-0.000137,0.999988,-0.004931,0.050365,0.004931,0.998719,-0.002378,-0.008659,-0.001464,0.000000,0.000000,0.000000,0.050380,0.004920,-0.998718,-0.001170,-0.000876,0.031921
