time,r0,r1,r2,r3,r4,r5,r6,r7,r8,wx,wy,wz,mx,my,mz,gx,gy,gz,ax,ay,az
762233.144125,0.999660,-0.000282,-0.026057,-0.000281,0.999767,-0.021591,0.026057,0.021591,0.999427,0.005369,0.004349,0.000007,0.000000,0.000000,0.000000,0.026057,0.021591,-0.999427,-0.004633,-0.001540,0.032585
762233.153832,0.999660,-0.000258,-0.026058,-0.000305,0.999767,-0.021585,0.026057,0.021586,0.999427,0.000495,0.000653,0.001175,0.000000,0.000000,0.000000,0.026058,0.021585,-0.999427,-0.001735,-0.000574,0.033592
762233.163538,0.999660,-0.000320,-0.026058,-0.000242,0.999768,-0.021557,0.026059,0.021556,0.999428,0.001774,0.001911,-0.004906,0.000000,0.000000,0.000000,0.026094,0.021581,-0.999427,-0.002748,0.001460,0.026862
762233.173244,0.999660,-0.000320,-0.026058,-0.000242,0.999768,-0.021557,0.026059,0.021556,0.999428,-0.000648,-0.002960,-0.001292,0.000000,0.000000,0.000000,0.026058,0.021557,-0.999428,0.000294,-0.001492,0.024925
762233.182951,0.999660,-0.000326,-0.026059,-0.000235,0.999768,-0.021534,0.026060,0.021532,0.999428,0.005409,0.001944,-0.000007,0.000000,0.000000,0.000000,0.026059,0.021534,-0.999428,-0.001675,-0.000446,0.023965
762233.192658,0.999644,-0.000320,-0.026664,-0.000239,0.999780,-0.020970,0.026665,0.020969,0.999424,-0.001929,0.001843,-0.003710,0.000000,0.000000,0.000000,0.026113,0.021554,-0.999427,-0.002493,-0.008339,0.026694
762233.202364,0.999644,-0.000320,-0.026664,-0.000239,0.999780,-0.020970,0.026665,0.020969,0.999424,0.000469,0.006703,-0.004886,0.000000,0.000000,0.000000,0.026664,0.020970,-0.999424,0.002679,-0.004918,0.032612
762233.212071,0.999643,-0.000362,-0.026707,-0.000196,0.999782,-0.020895,0.026708,0.020893,0.999425,0.003015,0.003151,-0.007330,0.000000,0.000000,0.000000,0.026707,0.020895,-0.999425,-0.000385,-0.000861,0.028768
762233.221778,0.999631,-0.000411,-0.027173,-0.000154,0.999783,-0.020814,0.027175,0.020811,0.999414,0.004149,0.003126,0.001211,0.000000,0.000000,0.000000,0.027143,0.020824,-0.999415,0.003070,-0.000850,0.031702
762233.231484,0.999631,-0.000411,-0.027173,-0.000154,0.999783,-0.020814,0.027175,0.020811,0.999414,-0.004379,0.000600,-0.002512,0.000000,0.000000,0.000000,0.027173,0.020814,-0.999414,0.003040,-0.000840,0.031702
762233.241191,0.999635,-0.000370,-0.026998,-0.000198,0.999778,-0.021051,0.027000,0.021048,0.999414,0.001579,0.005453,0.007306,0.000000,0.000000,0.000000,0.026998,0.021051,-0.999414,-0.002691,0.001990,0.025903
762233.250898,0.999646,-0.000361,-0.026609,-0.000202,0.999776,-0.021153,0.026611,0.021151,0.999422,0.000370,0.004231,0.007291,0.000000,0.000000,0.000000,0.027012,0.021004,-0.999414,-0.000690,-0.000954,0.027796
762233.260604,0.999646,-0.000361,-0.026609,-0.000202,0.999776,-0.021153,0.026611,0.021151,0.999422,-0.005540,-0.003027,-0.003760,0.000000,0.000000,0.000000,0.026609,0.021153,-0.999422,-0.005217,0.000896,0.029726
762233.270311,0.999652,-0.000379,-0.026391,-0.000178,0.999777,-0.021119,0.026393,0.021117,0.999429,0.006667,0.001974,-0.002438,0.000000,0.000000,0.000000,0.026391,0.021119,-0.999429,-0.003960,-0.001024,0.026803
762233.280018,0.999659,-0.000330,-0.026123,-0.000195,0.999798,-0.020089,0.026124,0.020088,0.999457,0.003208,-0.010097,-0.004968,0.000000,0.000000,0.000000,0.026232,0.020703,-0.999442,-0.001726,-0.005535,0.027731
762233.289724,0.999659,-0.000330,-0.026123,-0.000195,0.999798,-0.020089,0.026124,0.020088,0.999457,0.000445,0.000611,0.007271,0.000000,0.000000,0.000000,0.026123,0.020089,-0.999457,-0.002487,-0.008859,0.029593
762233.299431,0.999661,-0.000300,-0.026037,-0.000214,0.999805,-0.019738,0.026038,0.019737,0.999466,-0.003407,-0.002156,0.003731,0.000000,0.000000,0.000000,0.026037,0.019738,-0.999466,-0.001424,-0.006493,0.022888
