Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz
0,0.0,0,8.868892,-1.1002802,-8.100932,0.0,0.0,6.6110744,0.0,0.0,0.0
1,0.004394531,0,9.180097,8.727741,-7.3801537,0.0,0.0,6.5786424,0.0,0.0,0.028910046
2,0.008789062,0,8.899925,8.658242,-7.633034,0.0,0.0,6.5450983,0.0,0.0,0.057672683
3,0.013183592,0,8.677163,8.647576,-7.9030347,0.0,0.0,6.5103683,0.0,0.0,0.0862827
4,0.017578123,0,8.453047,8.694389,-8.20635,0.0,0.0,6.474305,0.0,0.0,0.11473424
5,0.021972654,0,8.295116,8.708533,-8.511083,0.0,0.0,6.436903,0.0,0.0,0.1430214
6,0.026367186,0,8.14047,8.55514,-8.86504,0.0,0.0,6.3979454,0.0,0.0,0.17113738
7,0.030761717,0,7.9479523,8.590121,-9.005885,0.0,0.0,6.358369,0.0,0.0,0.19907942
8,0.03515625,0,7.706003,8.397067,-9.320135,0.0,0.0,6.317411,0.0,0.0,0.22684148
9,0.03955078,0,7.5562925,8.317918,-9.353927,0.0,0.0,6.276305,0.0,0.0,0.2544229
10,0.043945313,0,7.450511,8.196787,-9.542096,0.0,0.0,6.234372,0.0,0.0,0.28182006
11,0.048339844,0,7.149693,8.139032,-9.521999,0.0,0.0,6.1925273,0.0,0.0,0.3090333
12,0.052734375,0,7.015648,8.005041,-9.634299,0.0,0.0,6.150189,0.0,0.0,0.3360605
13,0.057128906,0,6.774199,7.7117844,-9.716539,0.0,0.0,6.1074896,0.0,0.0,0.36290005
14,0.061523438,0,6.638965,7.763564,-9.649922,0.0,0.0,6.0650826,0.0,0.0,0.38955325
15,0.06591797,0,6.532959,7.5716867,-9.707311,0.0,0.0,6.0224237,0.0,0.0,0.41601896
16,0.0703125,0,6.2196593,7.4106293,-9.866684,0.0,0.0,5.979064,0.0,0.0,0.44229415
17,0.07470703,0,6.219185,7.40763,-9.866569,0.0,0.0,5.935705,0.0,0.0,0.46837878
18,0.07910156,0,5.8951807,7.1327534,-9.641231,0.0,0.0,5.8933363,0.0,0.0,0.49427724
19,0.083496094,0,5.3541746,6.629386,-9.454186,0.0,0.0,5.8517895,0.0,0.0,0.5199931
20,0.087890625,0,5.353667,6.6260853,-9.453946,0.0,0.0,5.810244,0.0,0.0,0.54552644
21,0.092285156,0,5.3135924,6.4979553,-9.514048,0.0,0.0,5.768434,0.0,0.0,0.570876
22,0.09667969,0,5.2367315,6.384272,-9.4593,0.0,0.0,5.726865,0.0,0.0,0.5960429
23,0.10107422,0,4.866631,6.0185485,-9.276589,0.0,0.0,5.686099,0.0,0.0,0.6210306
24,0.10546875,0,4.866787,6.018693,-9.276552,0.0,0.0,5.645333,0.0,0.0,0.6458392
25,0.10986328,0,4.635631,5.632284,-8.960789,0.0,0.0,5.605954,0.0,0.0,0.67047477
26,0.11425781,0,4.527789,5.3764124,-8.841963,0.0,0.0,5.567098,0.0,0.0,0.69493955
27,0.118652344,0,4.271257,5.142789,-8.632168,0.0,0.0,5.529164,0.0,0.0,0.7192376
28,0.123046875,0,4.1300397,4.86603,-8.565909,0.0,0.0,5.4915204,0.0,0.0,0.7433703
29,0.1274414,0,4.0426464,4.703787,-8.305737,0.0,0.0,5.455021,0.0,0.0,0.76734257
30,0.13183594,0,4.0358357,4.4052663,-8.191698,0.0,0.0,5.419022,0.0,0.0,0.79115665
31,0.13623047,0,3.898999,4.1958666,-8.037294,0.0,0.0,5.383702,0.0,0.0,0.8148155
32,0.140625,0,3.5794775,4.1706834,-7.7642975,0.0,0.0,5.3495812,0.0,0.0,0.8383244
33,0.14501953,0,3.52377,3.9047763,-7.555217,0.0,0.0,5.3163795,0.0,0.0,0.8616874
34,0.14941406,0,3.4581382,3.799782,-7.3687663,0.0,0.0,5.2839975,0.0,0.0,0.88490814
35,0.1538086,0,3.2616599,3.62404,-7.1632066,0.0,0.0,5.2525187,0.0,0.0,0.9079905
36,0.15820313,0,3.1842782,3.425845,-6.966497,0.0,0.0,5.2219043,0.0,0.0,0.93093836
37,0.16259766,0,2.9629,3.1489196,-6.7102633,0.0,0.0,5.1924157,0.0,0.0,0.9537566
38,0.16699219,0,2.9331918,3.0783286,-6.5574026,0.0,0.0,5.163599,0.0,0.0,0.9764482
39,0.17138672,0,2.7185655,3.0735853,-6.2633696,0.0,0.0,5.1360745,0.0,0.0,0.9990188
40,0.17578125,0,2.637229,2.87546,-6.0620265,0.0,0.0,5.1094346,0.0,0.0,1.0214723
41,0.18017578,0,2.7021246,2.7820222,-5.9598017,0.0,0.0,5.0832443,0.0,0.0,1.0438108
42,0.18457031,0,2.376424,2.582896,-5.6415977,0.0,0.0,5.0584517,0.0,0.0,1.0660404
43,0.18896484,0,2.3447826,2.3192909,-5.542037,0.0,0.0,5.034097,0.0,0.0,1.0881629
44,0.19335938,0,2.3446395,2.3169649,-5.5428653,0.0,0.0,5.009739,0.0,0.0,1.1101784
45,0.1977539,0,2.2545063,2.1620183,-5.1632495,0.0,0.0,4.987049,0.0,0.0,1.1320941
46,0.20214844,0,2.0987136,2.0528347,-4.9466653,0.0,0.0,4.9653106,0.0,0.0,1.1539143
47,0.20654297,0,2.0383592,1.8359224,-4.8058,0.0,0.0,4.9441915,0.0,0.0,1.1756418
48,0.2109375,0,1.95508,1.9057447,-4.604114,0.0,0.0,4.9239583,0.0,0.0,1.1972803
49,0.21533203,0,1.7447183,1.633074,-4.344825,0.0,0.0,4.904865,0.0,0.0,1.2188349
50,0.21972656,0,1.7571156,1.5842808,-4.2564616,0.0,0.0,4.88616,0.0,0.0,1.2403072
51,0.2241211,0,1.6235511,1.1503664,-4.1006246,0.0,0.0,4.8681393,0.0,0.0,1.2617004
52,0.22851563,0,1.563092,1.2900915,-3.918921,0.0,0.0,4.850918,0.0,0.0,1.2830179
53,0.23291016,0,1.4433334,1.1003016,-3.7380614,0.0,0.0,4.834491,0.0,0.0,1.3042632
54,0.23730469,0,1.4665916,1.1101333,-3.6399946,0.0,0.0,4.818495,0.0,0.0,1.3254383
55,0.24169922,0,1.3906074,0.9915998,-3.4927955,0.0,0.0,4.8031454,0.0,0.0,1.3465458
56,0.24609375,0,1.4208944,0.9915266,-3.399807,0.0,0.0,4.788205,0.0,0.0,1.3675877
57,0.25048828,0,1.316829,0.8595941,-3.233017,0.0,0.0,4.7739973,0.0,0.0,1.3885672
58,0.2548828,0,1.2009544,0.8143312,-3.0451217,0.0,0.0,4.7606153,0.0,0.0,1.4094878
59,0.25927734,0,1.0678432,0.6283346,-2.8566275,0.0,0.0,4.748062,0.0,0.0,1.4303534
60,0.26367188,0,1.064687,0.63048863,-2.7557206,0.0,0.0,4.735952,0.0,0.0,1.4511657
