Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz,mx,my,mz,nsax,nsay,nsaz,ax1,ay1,ayz,0.061554186,0.08783581,0.05899143
0,0,0,-0.322851,0.1128807,-0.40263554,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.03882753,-0.14656228,0.019603651,0.030226221,-0.06312239,0.023537906,,,
1,0.004425049,0,0.39553547,0.33897087,0.014787169,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.048662186,-0.028882615,0.03741731,0.028891817,-0.052917946,0.02306502,,,
2,0.008850098,0,0.25701794,0.046279456,0.062569685,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.007931747,-0.10519324,0.14794621,0.027456129,-0.04312507,0.022707507,,,
3,0.013244629,0,-0.05266198,0.23268001,0.5688635,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.035787933,0.077578045,-0.109132,0.025861295,-0.033742175,0.022430755,,,
4,0.017669678,0,0.34565887,0.116504,0.025418067,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.018661348,-0.083683856,-0.053400267,0.024029972,-0.024527999,0.02209609,,,
5,0.022094727,0,-0.15641208,-0.30490145,-0.28115335,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.020873755,0.028416954,0.080742404,0.02192289,-0.015478577,0.02163517,,,
6,0.026489258,0,-0.1270758,0.10119625,-0.18313237,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.01524161,0.036732063,0.042322665,0.019550527,-0.006557424,0.021063937,,,
7,0.030914307,0,-0.11212224,0.1190401,-0.1610867,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.002961839,0.005003631,-0.040845715,0.016927974,0.002439912,0.020382654,,,
8,0.035339355,0,-0.100849666,0.1258562,-0.14708075,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.058137003,0.09757609,0.007502628,0.014242179,0.011430089,0.019632397,,,
9,0.039733887,0,-0.081996635,0.12820248,-0.12318865,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.114366695,0.038035408,0.09491111,0.011959845,0.01978482,0.019209685,,,
10,0.044158936,0,-0.036827,0.13204956,-0.09341737,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.004494652,-0.014877372,0.049695395,0.007750576,0.027110972,0.019573148,,,
11,0.048583984,0,0.15485443,0.14539976,0.031809244,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.004536297,0.014407434,0.055232514,0.003403677,0.033985607,0.020290954,,,
12,0.052978516,0,0.07717574,0.05467299,0.062002942,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.030436926,-0.044250466,-0.069297306,-8.22E-04,0.039814524,0.020362264,,,
13,0.057403564,0,0.004489143,0.04801337,0.14178604,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.079576686,-0.04906007,-0.017001692,-0.004941985,0.04407408,0.018507576,,,
14,0.061828613,0,0.07946708,0.004925695,-0.03798346,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.003316972,0.15116462,0.059058275,-0.009099915,0.045986295,0.015414898,,,
15,0.066223145,0,-0.1322959,-0.050408214,-0.114855185,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.006607227,0.061468042,0.08571379,-0.01314066,0.04646736,0.012146603,,,
16,0.07064819,0,-0.09581133,0.0815101,-0.046753325,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.08109854,0.08678008,-0.042407308,-0.01767881,0.046530373,0.008967076,,,
17,0.075042725,0,-0.020667493,0.04919669,-0.066255696,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.054492798,0.095018096,0.011784582,-0.022323398,0.046901975,0.006511068,,,
18,0.07946777,0,-0.014450241,0.03812465,-0.058757056,0,0,0,0,0,0,FALSE,FALSE,FALSE,-0.05422202,0.09445391,0.011782887,-0.02546568,0.047128752,0.005287173,,,
19,0.08389282,0,-0.04153231,0.0730741,-0.03479173,0,0,0,0,0,0,FALSE,FALSE,FALSE,0.009090953,0.10159852,0.019703835,-0.02639914,0.046015278,0.005246468,,,
