time,r0,r1,r2,r3,r4,r5,r6,r7,r8,imid,cf
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.004425049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.00881958,0.027924469,0.9955952,-0.08950077,-0.21276376,0.09340379,0.9726291,0.97670454,-0.008117628,0.21443483,1.0,0
0.013244629,0.02792694,0.9955972,-0.08947806,-0.21253176,0.09338019,0.97268194,0.9767549,-0.008147106,0.21420385,1.0,0
0.017669678,0.027932696,0.9956018,-0.0894253,-0.21254656,0.09333001,0.9726836,0.9767516,-0.008162638,0.21421869,1.0,0
0.022094727,0.024330009,0.99702704,-0.0731115,-0.21292639,0.07662323,0.9740592,0.9767653,-0.008131503,0.21415758,1.0,0
0.026519776,0.024335517,0.9970303,-0.07306405,-0.21292633,0.07657806,0.9740628,0.9767652,-0.008147062,0.21415757,1.0,0
0.030914307,0.024329199,0.9970265,-0.073118456,-0.21289662,0.07662961,0.97406524,0.97677183,-0.008131557,0.2141279,1.0,0
0.035339356,0.019964047,0.9983903,-0.053085756,-0.21333586,0.05612739,0.97536516,0.9767748,-0.008147142,0.214113,1.0,0
0.039764404,0.019982496,0.9983986,-0.052923948,-0.21344194,0.05597416,0.9753509,0.9767513,-0.0081937555,0.21421863,1.0,0
0.044189453,0.01999227,0.99840295,-0.052838232,-0.21341233,0.055892274,0.9753622,0.9767577,-0.0082233725,0.2141889,1.0,0
0.048583985,0.024173347,0.9971295,-0.07175395,-0.21313475,0.075265154,0.9741196,0.97672373,-0.008254468,0.21434231,1.0,0
0.053009033,0.024160815,0.99712175,-0.07186331,-0.21327528,0.07537048,0.97408044,0.97669333,-0.008207913,0.21448247,1.0,0
0.057434082,0.024167018,0.99712557,-0.07180917,-0.21330354,0.07531917,0.9740783,0.976687,-0.008223419,0.21451065,1.0,0
0.061859131,0.024163418,0.99713045,-0.07174276,-0.21344338,0.0752547,0.9740528,0.9766566,-0.008223426,0.21464929,1.0,0
0.06628418,0.024162091,0.9971296,-0.07175473,-0.21359545,0.07526738,0.9740184,0.97662336,-0.008207834,0.21480097,1.0,0
0.070678711,0.02416661,0.9971325,-0.07171382,-0.213766,0.07522982,0.9739839,0.9765859,-0.008207913,0.21497105,1.0,0
0.07510376,0.02336224,0.9974109,-0.06801388,-0.21396013,0.071444474,0.9742263,0.976563,-0.00820785,0.21507522,1.0,0
0.079528809,0.023370095,0.99741524,-0.067944996,-0.21405408,0.07137968,0.97421026,0.97654223,-0.008223484,0.21516898,1.0,0
0.083953858,0.023381695,0.997422,-0.06784331,-0.21408379,0.071283095,0.97421086,0.9765354,-0.008254547,0.21519859,1.0,0
0.088348389,0.023393255,0.9974286,-0.067741975,-0.21411203,0.07118686,0.9742118,0.976529,-0.008285612,0.21522674,1.0,0
0.092773438,0.023415662,0.99744135,-0.06754557,-0.21415986,0.071000256,0.97421485,0.976518,-0.008346334,0.21527442,1.0,0
0.097198486,0.023404803,0.99743515,-0.06764075,-0.21415986,0.07109088,0.9742081,0.97651815,-0.008315216,0.21527445,1.0,0
0.101623535,0.023404066,0.9974348,-0.067647204,-0.21413013,0.07109677,0.9742143,0.9765247,-0.008315272,0.21524478,1.0,0
0.106018067,0.024009805,0.9972536,-0.070062995,-0.21423304,0.07358762,0.9740067,0.97648746,-0.008375903,0.21541148,1.0,0
0.110443115,0.024005124,0.997251,-0.07010165,-0.21424794,0.07362449,0.9740007,0.9764843,-0.008361872,0.21542634,1.0,0
0.114868164,0.030006912,0.99480194,-0.09730736,-0.21355231,0.101483904,0.9716463,0.9764707,-0.008375893,0.21548747,1.0,0
0.119293213,0.030002708,0.99479824,-0.097346075,-0.21356736,0.10152094,0.97163916,0.9764676,-0.008361862,0.21550234,1.0,0
0.123718262,0.030025283,0.9948179,-0.09713816,-0.21362783,0.101323254,0.9716465,0.97645366,-0.008422546,0.21556304,1.0,0
0.128112793,0.024226697,0.99717,-0.071169645,-0.21425407,0.07471538,0.9739162,0.97647744,-0.008346386,0.21545783,1.0,0
0.132537842,0.024248648,0.99718356,-0.070970796,-0.21430157,0.07452632,0.97392017,0.9764665,-0.008407097,0.21550518,1.0,0
0.136962891,0.024235554,0.99717546,-0.07108938,-0.2142076,0.0746385,0.9739323,0.97648746,-0.008375903,0.21541148,1.0,0
0.14138794,0.026184727,0.99642015,-0.08038146,-0.21378909,0.084130466,0.9732503,0.9765288,-0.008299614,0.21522671,1.0,0
0.145782471,0.026176589,0.9964137,-0.0804644,-0.21365187,0.08420856,0.97327375,0.9765591,-0.0082856165,0.21508993,1.0,0
0.15020752,0.026156938,0.9963981,-0.08066467,-0.21346968,0.08439842,0.97329736,0.97659945,-0.008239015,0.21490836,1.0,0
0.154632569,0.034752473,0.99217355,-0.11993271,-0.21203996,0.124593146,0.9692861,0.97664285,-0.008254561,0.21471037,1.0,0
0.159057617,0.034758765,0.99217975,-0.119879745,-0.21193309,0.12454186,0.9693161,0.9766659,-0.008285744,0.21460465,1.0,0
0.163452149,0.034775503,0.9921962,-0.119738795,-0.2118238,0.12440681,0.9693574,0.976689,-0.008346359,0.21449707,1.0,0
0.167877197,0.026009476,0.9964865,-0.07961221,-0.212845,0.08333332,0.9735258,0.97673976,-0.008375838,0.21426463,1.0,0
0.172302246,0.026009476,0.9964865,-0.07961221,-0.212845,0.08333332,0.9735258,0.97673976,-0.008375838,0.21426463,1.0,0
0.176727295,0.026018893,0.99649405,-0.07951531,-0.21283157,0.083240554,0.9735368,0.97674245,-0.008406981,0.2142512,1.0,0
0.181152344,0.020041794,0.9984396,-0.052121446,-0.21346304,0.05520307,0.97539026,0.97674555,-0.0084225675,0.21423633,1.0,0
0.185546875,0.0200305,0.9984345,-0.052224237,-0.21342988,0.055300787,0.97539204,0.97675306,-0.008391378,0.21420345,1.0,0
0.189971924,0.020007392,0.9984239,-0.0524346,-0.2133073,0.05550029,0.9754073,0.9767802,-0.008330675,0.21408154,1.0,0
0.194396973,0.027455853,0.9958828,-0.08639231,-0.21243334,0.0902637,0.9729978,0.97678983,-0.008361877,0.21403697,1.0,0
0.198822022,0.027454335,0.99588174,-0.08640564,-0.21238688,0.090275995,0.97300684,0.97679996,-0.00836183,0.21399066,1.0,0
0.203216553,0.027459236,0.9958854,-0.0863627,-0.21238676,0.090235084,0.97301066,0.9767998,-0.008375833,0.21399061,1.0,0
0.207641602,0.024129484,0.99719197,-0.07089476,-0.21279255,0.07441345,0.9742598,0.9767994,-0.008422509,0.21399054,1.0,0
0.212066651,0.024113696,0.9971827,-0.07102849,-0.21282567,0.074541,0.9742427,0.9767926,-0.0083759045,0.21402356,1.0,0
0.216491699,0.024125986,0.9971899,-0.070924364,-0.21286876,0.07444227,0.9742409,0.9767829,-0.008406941,0.21406658,1.0,0
0.220916748,0.02598546,0.9965227,-0.07916528,-0.21280415,0.08289119,0.97357243,0.97674924,-0.008452029,0.21421815,1.0,0
0.225311279,0.025979484,0.99651855,-0.079220034,-0.21276104,0.08294303,0.9735775,0.97675884,-0.008438108,0.21417515,1.0,0
0.229736328,0.025978593,0.99651796,-0.07922819,-0.21291356,0.08295212,0.9735434,0.9767256,-0.008422529,0.21432716,1.0,0
0.234161377,0.034903426,0.9921725,-0.11989757,-0.21180624,0.124589235,0.96933776,0.9766883,-0.008438157,0.21449693,1.0,0
0.238586426,0.034912333,0.99218154,-0.11982006,-0.21189578,0.12451618,0.9693275,0.9766685,-0.008452124,0.21458624,1.0,0
0.242980957,0.03492676,0.99219626,-0.11969447,-0.21185161,0.124396205,0.96935266,0.9766776,-0.008498883,0.21454312,1.0,0
0.247406006,0.02028816,0.9984132,-0.05252941,-0.21373811,0.05565682,0.97530425,0.97668034,-0.008559591,0.21452816,1.0,0
0.251800537,0.020289617,0.99841386,-0.052515876,-0.21381426,0.05564458,0.97528815,0.9766636,-0.008559581,0.21460415,1.0,0
0.256225586,0.020290691,0.99841446,-0.052505895,-0.21387227,0.05563557,0.97527605,0.9766509,-0.00855947,0.21466205,1.0,0
0.260650635,0.029696424,0.99497736,-0.09559375,-0.21274062,0.0997362,0.9720052,0.97665733,-0.008528406,0.2146339,1.0,0
0.265045166,0.029680045,0.9949642,-0.095736064,-0.21257344,0.09987026,0.972028,0.9766942,-0.008498892,0.21446711,1.0,0
0.269439697,0.029681094,0.99496496,-0.09572692,-0.21260323,0.09986181,0.9720223,0.9766877,-0.008498836,0.2144968,1.0,0
0.273803711,0.022250438,0.99782693,-0.062019642,-0.21343075,0.06534584,0.97477037,0.9767048,-0.00845217,0.2144209,1.0,0
0.278167725,0.022242755,0.99782306,-0.062084127,-0.21332186,0.06540625,0.97479016,0.97672874,-0.008438117,0.21431229,1.0,0
0.282531738,0.022234151,0.99781877,-0.062156405,-0.21319784,0.065473944,0.9748128,0.97675604,-0.008422524,0.21418855,1.0,0
0.286895752,0.02762576,0.99580455,-0.087236814,-0.2124257,0.0911251,0.97291917,0.9767867,-0.00834629,0.21405184,1.0,0
0.291259766,0.027626239,0.9958048,-0.08723264,-0.21244055,0.09112124,0.97291607,0.97678334,-0.008346261,0.21406667,1.0,0
0.295623779,0.027649624,0.99582195,-0.08702967,-0.2123339,0.09092704,0.97295773,0.976806,-0.008422566,0.21396086,1.0,0
0.299987793,0.027624205,0.99580336,-0.0872503,-0.21221165,0.09113611,0.9729647,0.97683316,-0.008361848,0.21383864,1.0,0
0.304351807,0.027630098,0.99580765,-0.087199144,-0.21224134,0.09108765,0.97296286,0.9768266,-0.008375796,0.21386832,1.0,0
0.30871582,0.027641647,0.9958162,-0.08709895,-0.21225776,0.09099236,0.9729682,0.9768227,-0.008407015,0.21388486,1.0,0
0.313079834,0.030842176,0.9943432,-0.101638034,-0.21180078,0.10587886,0.9715607,0.9768262,-0.008438031,0.21386822,1.0,0
0.317443848,0.030841574,0.99434274,-0.101642706,-0.21178587,0.10588316,0.97156346,0.9768294,-0.008438059,0.21385336,1.0,0
0.321807861,0.0308279,0.99433225,-0.10174981,-0.21173842,0.10598447,0.97156274,0.9768401,-0.008406897,0.21380562,1.0,0
0.326171875,0.030795978,0.99430764,-0.101999916,-0.21180287,0.10622257,0.9715227,0.9768271,-0.008315117,0.21386842,1.0,0
0.330535889,0.028598156,0.99533933,-0.09209652,-0.21218573,0.09607929,0.97249466,0.97681075,-0.008269987,0.2139445,1.0,0
0.334899903,0.028597105,0.9953385,-0.09210586,-0.2123116,0.09608926,0.9724663,0.9767835,-0.008254579,0.21406978,1.0,0
0.339294434,0.029996037,0.9947052,-0.09829452,-0.21227303,0.10243496,0.97182673,0.9767499,-0.008285678,0.21422173,1.0,0
0.343658447,0.030002974,0.9947112,-0.09823088,-0.21233428,0.1023748,0.9718197,0.9767364,-0.008299699,0.21428286,1.0,0
0.348022461,0.030001307,0.99470985,-0.09824621,-0.21228778,0.102389015,0.9718284,0.9767465,-0.0082996525,0.21423653,1.0,0
0.352386475,0.021034896,0.99813884,-0.05723788,-0.21334797,0.06041322,0.97510654,0.97674984,-0.008299681,0.21422172,1.0,0
0.356750488,0.021035526,0.9981392,-0.057232436,-0.2133777,0.060408287,0.97510034,0.9767433,-0.0082996255,0.21425138,1.0,0
0.361114502,0.02104757,0.9981449,-0.05712858,-0.21342419,0.060309805,0.97509634,0.9767329,-0.008330789,0.21429765,1.0,0
0.365478516,0.025083002,0.9968153,-0.07569748,-0.21284902,0.07931028,0.9738609,0.976763,-0.0083152205,0.21416049,1.0,0
0.369842529,0.02507277,0.99680907,-0.075782716,-0.21269378,0.07939006,0.97388834,0.97679716,-0.008299568,0.21400562,1.0,0
0.374206543,0.02506279,0.9968031,-0.07586585,-0.21252656,0.07946772,0.9739187,0.9768338,-0.008285611,0.21383877,1.0,0
0.378570557,0.024810618,0.99689764,-0.074696206,-0.21241897,0.07827009,0.974039,0.9768637,-0.008299617,0.2137019,1.0,0
0.38293457,0.024805145,0.9968945,-0.074740954,-0.21223354,0.07831107,0.9740762,0.97690415,-0.008299564,0.21351695,1.0,0
0.387298584,0.024789827,0.9968854,-0.074866146,-0.2120816,0.07842883,0.97409976,0.9769375,-0.008270033,0.21336529,1.0,0
0.391662598,0.026634272,0.99616045,-0.083396815,-0.2117197,0.08715515,0.9734366,0.97696745,-0.008270023,0.2132281,1.0,0
0.396026611,0.026640564,0.9961651,-0.0833393,-0.21159531,0.087099224,0.97346866,0.9769942,-0.008299549,0.21310423,1.0,0
0.400390625,0.026635941,0.99616164,-0.083381586,-0.2114431,0.08713828,0.97349817,0.9770273,-0.008299579,0.21295251,1.0,0
0.404754639,0.032256745,0.993511,-0.1090656,-0.21050751,0.11342788,0.97098947,0.9770599,-0.008361831,0.21280035,1.0,0
0.40914917,0.032267045,0.99352133,-0.1089687,-0.21038397,0.1133343,0.97102726,0.9770862,-0.008406913,0.21267793,1.0,0
0.413513184,0.03225311,0.9935074,-0.1090998,-0.21029338,0.11345869,0.9710323,0.97710615,-0.008375845,0.21258743,1.0,0
0.417877197,0.022406867,0.9977028,-0.063930675,-0.21144302,0.06722945,0.9750754,0.97713345,-0.008330689,0.21246368,1.0,0
0.422241211,0.022419017,0.99770963,-0.063818805,-0.21130556,0.06712151,0.9751126,0.9771629,-0.008375797,0.21232639,1.0,0
0.426605225,0.022436013,0.9977193,-0.063662365,-0.21112381,0.06697067,0.97516245,0.9772019,-0.008438118,0.21214484,1.0,0
0.430969238,0.024634812,0.9969704,-0.073777564,-0.21081752,0.07732117,0.97446257,0.97721493,-0.0084521,0.21208361,1.0,0
0.435333252,0.024615597,0.9969579,-0.07395302,-0.21068,0.07748742,0.9744792,0.97724515,-0.008406969,0.21194647,1.0,0
0.439697266,0.024603257,0.9969498,-0.07406565,-0.21061902,0.07759436,0.9744838,0.97725856,-0.008375844,0.21188568,1.0,0
0.444061279,0.026812015,0.9960921,-0.08415284,-0.2103205,0.08791988,0.9736711,0.9772647,-0.008407016,0.21185589,1.0,0
0.448425293,0.02682189,0.9960996,-0.084059924,-0.2103022,0.087831,0.973683,0.9772684,-0.008438034,0.21183775,1.0,0
0.452789307,0.02681494,0.9960943,-0.08412533,-0.21024413,0.087892964,0.97369003,0.97728115,-0.008422584,0.21177983,1.0,0
0.45715332,0.031433523,0.99395007,-0.10523876,-0.20960568,0.109504774,0.97163475,0.97728056,-0.008483263,0.2117797,1.0,0
0.461517334,0.03143723,0.993954,-0.10520044,-0.20957246,0.10946783,0.9716462,0.9772877,-0.008498749,0.21174675,1.0,0
0.465881348,0.03143622,0.99395293,-0.10521089,-0.2096821,0.10947878,0.9716213,0.97726417,-0.008483255,0.21185575,1.0,0
0.470245361,0.02576202,0.99655217,-0.078866936,-0.210437,0.08253149,0.9741174,0.9772679,-0.008498712,0.21183765,1.0,0
0.474609375,0.025767174,0.996556,-0.07881736,-0.21043697,0.082484126,0.97412145,0.9772678,-0.008514271,0.21183762,1.0,0
0.479003906,0.025767716,0.9965564,-0.07881217,-0.21045512,0.08247932,0.974118,0.97726387,-0.008514373,0.2118557,1.0,0
